title,location,price,bedrooms,bathrooms,toilets,property_type,url
A Serviced 2 Bedroom Penthouse,"Old Ikoyi, Ikoyi, Lagos","₦40,000,000 per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3304069-a-serviced-2-bedroom-penthouse
Furnished Luxury 4 Bedroom Terrace Duplex With 1 Bedroom Bq,"Old Ikoyi, Ikoyi, Lagos","₦45,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/old-ikoyi/3304354-furnished-luxury-4-bedroom-terrace-duplex-with-1-bedroom-bq
Fully Furnished & Serviced 4-bedroom Semi-detached Duplex With Bq,"Old Ikoyi, Ikoyi, Lagos","₦50,000,000 per annum",4,5,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ikoyi/old-ikoyi/3304373-fully-furnished-serviced-4-bedroom-semi-detached-duplex-with-bq
Luxury 3-bedroom Apartment With Bq And Spacious Bedrooms,"Old Ikoyi, Ikoyi, Lagos","₦45,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3304453-luxury-3-bedroom-apartment-with-bq-and-spacious-bedrooms
Brand New - Three Bedroom Apartment With Bq,"Old Ikoyi, Ikoyi, Lagos","₦45,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3304481-brand-new-three-bedroom-apartment-with-bq
"Brand New 4 Bedroom Terrace House With Bq,pool","Old Ikoyi, Ikoyi, Lagos","₦60,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/old-ikoyi/3262627-brand-new-4-bedroom-terrace-house-with-bqpool
Fully Furnished Luxury 1-bedroom Apartment,"Ikoyi, Lagos","₦20,000,000 per annum",1,1,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ikoyi/3304077-fully-furnished-luxury-1-bedroom-apartment
Fully Furnished Luxury 2 Bedroom Apartment,"Ikoyi, Lagos","₦30,000,000 per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3304183-fully-furnished-luxury-2-bedroom-apartment
Mini Flat,"Ikoyi, Lagos","₦15,000,000 per annum",1,0,0,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ikoyi/3304248-mini-flat
One Boy's Quarter,"Ikoyi, Lagos","₦5,000,000 per annum",1,1,1,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ikoyi/3304317-one-boys-quarter
Well Maintained 1 Bedroom Flat,"Ikoyi, Lagos","₦10,000,000 per annum",1,1,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ikoyi/3304420-well-maintained-1-bedroom-flat
12 Units Of 3 Bedroom Apartment With Bq's Fitted Kitchen,"Ikoyi, Lagos","₦240,000,000 per annum",15,15,24,15 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3304502-12-units-of-3-bedroom-apartment-with-bqs-fitted-kitchen
Fully Serviced Furnished 3-bedroom Apartment (waterfront View),"Ikoyi, Lagos","₦40,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3304538-fully-serviced-furnished-3-bedroom-apartment-waterfront-view
Fully Serviced Furnished 3-bedroom Apartment,"Ikoyi, Lagos","₦40,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3304546-fully-serviced-furnished-3-bedroom-apartment
3-bedroom Apartment,"Old Ikoyi, Ikoyi, Lagos","₦40,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3235057-3-bedroom-apartment
"Luxury 3 Bedroom Apartment, Swimming Pool, Gym, Etc.","Gerrard Road, Old Ikoyi, Ikoyi, Lagos","₦60,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3303945-luxury-3-bedroom-apartment-swimming-pool-gym-etc
