title,location,price,bedrooms,bathrooms,toilets,property_type,url
2 bedroom flat / apartment for rent,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦15,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3303306-brand-new-serviced-2-bedroom-apartment
4 bedroom semi-detached duplex for rent,"Orchid Road, Lekki, Lagos","₦15,000,000per annum",4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/3303304-luxury-serviced-4-bedroom-semi-detached-duplex
2 bedroom flat / apartment for rent,"Off Admiralty, Lekki Phase 1, Lekki, Lagos","₦25,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3303300-luxury-2-bedroom-apartment-with-swimming-in-the-heart-of-lekki-phase-1
Self contain (single rooms) for rent,"Orchid Road Lekki Lagos, Lekki, Lagos","₦1,800,000per annum",0,1,1,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/lekki/3303298-standard-single-room-in-a-duplex-shared-apartment
5 bedroom terraced duplex for rent,"Off Admiralty, Lekki Phase 1, Lekki, Lagos","₦30,000,000per annum",5,5,6,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/3303297-brand-new-units-of-luxury-5-bedroom-terrace-duplex-with-bq-at-lekki
1 bedroom mini flat (room and parlour) for rent,"Ikota Lekki Lagos, Ikota, Lekki, Lagos","₦4,200,000per annum",1,1,1,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/ikota/3303296-standard-miniflat-with-fully-fitted-kitchen
2 bedroom flat / apartment for rent,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦15,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3303295-luxury-2-bedroom-with-bq-swimming-pool-gym-and-lounge
Commercial land for rent,"Lekki Phase 1, Lekki, Lagos","₦100,000,000per annum",0,0,0,Commercial land for rent,https://nigeriapropertycentre.com/for-rent/land/commercial-land/lagos/lekki/lekki-phase-1/3303292-1234-sqm-with-structure
5 bedroom detached duplex for rent,"Lekki Phase 1, Lekki, Lagos","₦30,000,000per annum",5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3303282-brand-new-luxury-5-bedroom-duplex-with-bq
4 bedroom detached duplex for rent,"Lekki Phase 1, Lekki, Lagos","₦50,000,000per annum",4,4,5,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3303279-luxury-4-bedroom-detached-duplex-with-bq
5 bedroom detached duplex for rent,"Off Admiralty, Lekki Phase 1, Lekki, Lagos","₦50,000,000per annum",5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3303276-luxury-5-bedroom-spacious-duplex-with-2-rooms-bq
3 bedroom terraced duplex for rent,"Lekki Phase 1, Lekki, Lagos","₦10,000,000per annum",3,3,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/3246492-serviced-3-bedrooms-terrace-plus-boys-quarter
Self contain (single rooms) for rent,"Igbo Efon, Lekki, Lagos","₦5,000,000per annum",0,0,0,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/lekki/igbo-efon/3303259-2-units-of-studio-apartment
